Name,Last Name,Age,Phone Number,Province,Contribution (%)
Bongani,Ngcobo,32.0,0835909176,Eastern Cape,9.0
Lebo,Cele,26.0,0837310269,Eastern Cape,3.89
Bongani,Khumalo,35.0,0833435246,Eastern Cape,10.0
Bongani,Nkosi,23.0,0832810464,Eastern Cape,1.0
Sipho,Ngcobo,26.0,0839020162,Eastern Cape,2.03
Lebo,Mokoena,28.0,0839856516,Eastern Cape,8.0
Tshepo,Nkosi,20.0,0837418278,Eastern Cape,4.0
Sipho,Khumalo,31.0,0837732521,Eastern Cape,4.0
Bongani,Cele,32.0,0834645884,Gauteng,6.41
Tshepo,Mabena,28.0,0832936477,Eastern Cape,6.0
Bongani,Nkosi,18.0,0839872083,Eastern Cape,6.54
Lebo,Mthembu,33.0,0832797317,Eastern Cape,3.75
