Name,Last Name,Age,Phone Number,Province,Contribution (%)
BONGANI,Ngcobo,32,+27835909176,EC,9%
Zanele,Cele,Twenty,0834905171,EC,5%
Thabo,Zulu,Twenty,+27834750170,Eastern Cape,3%
Ayanda,Mabena ,,083 7876729,Eastern Cape,NaN
Lebo,Cele,26,+27 837310269,E.Cape,3.89
Tshepo,Mokoena ,Twenty,+27 837103073,Eastern Cape,7.48
SIPHO,Mthembu,Twenty,083 5149267,Western Cape,
BONGANI,Khumalo ,35,083 3435246,Eastern Cape,10%
Sipho,Hlongwane,,083-3747446,EC,NaN
SIPHO,Dlamini,Twenty,+27837800423, Gauteng ,
MANDLA,Ngcobo,,0832112613,Eastern cape,NaN
NOMSA,Zulu,22,+27833319089, Gauteng ,
LEBO,Mokoena,19,+27 839083384,Eastern Cape,
BONGANI,Nkosi,33,083 8210782, Gauteng ,
Tshepo,Cele,17,083 3563789,Western Cape,NaN
BONGANI,Zulu,,083 1045870,EC,2%
NOLUTHANDO,Cele,21,0831870547,E.Cape,NaN
Tshepo,Hlongwane ,,+27838542454,Eastern Cape,1.96
Bongani,Nkosi ,23,+27832810464,EC,1%
Noluthando,Hlongwane,Twenty,083-4909909,Western Cape,
MANDLA,Ngcobo,Twenty,083-9930095,EC,2.62
Ayanda,Mokoena,Twenty,+27 836745929,Eastern Cape,3.27
Ayanda,Zulu,Twenty,083-4530101,Eastern cape,5%
Sipho,Dlamini,35,083 3092195,Eastern Cape,
Sipho,Cele,Twenty,+27 833114738,Eastern Cape,4%
BONGANI,Hlongwane,,083-7959499, Gauteng ,7.01
TSHEPO,Hlongwane ,,083 6743829,EC,9%
Mandla,Cele,Twenty,0838208578, Gauteng ,8%
Mandla,Cele,,0836184127,Eastern Cape,
Thabo,Hlongwane,25,083-4386223,eastern Cape,
Thabo,Hlongwane,24,+27836081803,E.Cape,
Sipho,Ngcobo,26,+27 839020162,E.Cape,2.03
MANDLA,Mabena,Twenty,0837359663,E.Cape,1%
SIPHO,Dlamini ,Twenty,0832721229, Gauteng ,5.05
SIPHO,Nkosi ,Twenty,083-5585036,eastern Cape,1.72
LEBO,Mokoena,28,083-9856516,Eastern cape,8%
ZANELE,Ngcobo,Twenty,+27 834002586,eastern Cape,
Noluthando,Cele,26,+27 834812285,EC,NaN
Tshepo,Nkosi,20,0837418278,Eastern cape,4%
TSHEPO,Dlamini,,0836780625,E.Cape,5.27
ZANELE,Mthembu,Twenty,+27 837462218,E.Cape,
Nomsa,Mokoena,Twenty,083-6448591,Eastern Cape,8%
SIPHO,Khumalo,31,083-7732521,Eastern cape,4%
Tshepo,Mabena ,Twenty,+27839571808,EC,NaN
LEBO,Cele,,+27 838451494,Eastern Cape,NaN
BONGANI,Cele,32,+27834645884, Gauteng ,6.41
Tshepo,Mabena,28,+27 832936477,Eastern cape,6%
Bongani,Nkosi,18,083-9872083,E.Cape,6.54
Thabo,Dlamini,,+27 835718860,eastern Cape,3.40
LEBO,Mthembu,33,+27832797317,EC,3.75
